Diet,Pronotum,Mass0,Delta_smi,Song_week1
12,2.100961538,0.19094,-0.008488429,0
24,2.427884615,0.20927,-0.030406475,0
24,2.221153846,0.15821,0.017614157,3.258096538
24,2.120192308,0.16891,-0.009739737,0
36,2.597115385,0.21899,0.002657443,7.294377299
36,2.610576923,0.22149,0.006224136,0
36,2.563461538,0.21152,0.030768104,0
36,2.500961538,0.20844,0.017775158,4.043051268
48,2.467307692,0.22941,0.022960955,8.853236765
48,2.391346154,0.2028,0.016830143,6.489204931
48,2.194230769,0.16303,0.013394015,6.035481433
48,2.182692308,0.19476,0.005547405,4.836281907
60,2.188461538,0.15261,0.032742552,1.791759469
60,2.5,0.20976,0.040017232,3.465735903
60,2.557692308,0.20495,0.052467418,6.744059186
60,2.289423077,0.17071,0.021820794,0
72,2.379807692,0.19564,0.043555892,0
72,2.399038462,0.20259,0.038776645,2.944438979
72,2.510576923,0.23482,0.027225075,6.234410726
72,2.385576923,0.19442,0.03797941,4.997212274
84,2.061538462,0.13571,0.020104379,1.945910149
84,2.426923077,0.23542,0.012084923,0
84,2.307692308,0.18624,0.036761536,6.555356892
84,2.300961538,0.19929,-0.020991707,5.056245805
12,2.491346154,0.21826,-0.04620981,0
12,2.245192308,0.20267,1.47E-04,0
12,2.392307692,0.22106,NA,0
12,2.4625,0.20116,NA,0
12,2.1875,0.15287,0.0119972,5.953243334
12,2.155769231,0.16054,NA,0
12,2.246153846,0.1827,NA,1.791759469
12,2.574038462,0.24594,NA,2.397895273
12,2.413461538,0.19212,-0.027660497,0
12,2.432692308,0.20686,0.010526229,5.973809612
12,2.591346154,0.23496,0.009061225,4.96284463
12,2.351923077,0.18004,NA,0
12,2.294230769,0.17705,NA,0
12,2.302884615,0.17838,0.00356445,6.639875834
12,2.367307692,0.18571,0.006237697,0
12,2.370192308,0.22433,-0.002459247,3.17805383
24,2.264423077,0.18819,-0.010250361,0
24,2.380769231,0.20039,0.005737239,0
24,2.293269231,0.1991,-0.041050532,9.462110252
24,2.183653846,0.15503,0.01531881,7.077498054
24,2.357692308,0.18964,0.005468599,4.007333185
24,2.068269231,0.17331,NA,0
24,2.261538462,0.18262,4.57E-04,4.521788577
24,2.379807692,0.21051,-0.003226362,2.48490665
24,2.284615385,0.16714,0.031449821,3.091042453
24,2.308653846,0.17311,0.007879267,3.988984047
24,2.341346154,0.17129,0.011743319,0
24,2.380769231,0.19982,0.00362088,4.644390899
24,2.322115385,0.16636,0.028725369,5.18178355
24,2.317307692,0.18684,0.004445548,0
24,2.4,0.24033,0.001331085,7.253470383
24,2.471153846,0.21657,0.016674387,0
36,2.125,0.14399,0.014585987,5.272999559
36,2.548076923,0.22845,0.033949851,6.875232087
36,2.419230769,0.1779,0.015717897,4.317488114
36,2.385576923,0.17602,0.030690025,6.622736324
36,2.515384615,0.21267,0.026631337,7.324489979
36,2.225961538,0.20993,-0.004204289,0
36,2.533653846,0.21652,0.039683115,8.447414297
36,2.569230769,0.22022,0.025763867,8.696008609
36,2.232692308,0.2164,-0.011749457,5.638354669
36,2.221153846,0.1958,-0.015263364,6.961296046
36,2.302884615,0.16701,0.021266967,7.431891917
36,2.458653846,0.22964,-0.002679634,7.886457271
36,2.226923077,0.17481,0.01766405,7.277247727
36,2.600961538,0.28292,-0.031721097,8.516993171
36,2.332692308,0.17392,0.030366052,6.12249281
36,2.259615385,0.22154,-0.007273135,7.003065459
48,2.646153846,0.22874,0.041096125,6.410174882
48,2.480769231,0.22698,0.039979725,8.144679183
48,2.322115385,0.19446,0.021273521,7.762596049
48,2.461538462,0.24895,0.005856125,9.744257327
48,2.403846154,0.19758,0.037413391,8.925720274
48,2.322115385,0.19276,0.027285807,8.804925263
48,2.350961538,0.19673,NA,0
48,2.158653846,0.15747,0.002848244,0
48,2.322115385,0.2167,-0.006736772,8.566554621
48,2.149038462,0.17709,0.006881444,8.320448114
48,2.510576923,0.20828,0.024915138,5.690359454
48,2.524038462,0.23952,0.054560831,7.60190196
48,2.432692308,0.21721,0.031939101,5.988961417
48,2.552884615,0.21953,0.037209036,8.027150107
48,2.415384615,0.19014,0.043048298,8.356085031
48,2.714423077,0.25196,0.007327845,8.610865667
60,2.288461538,0.18553,0.02573986,7.288927695
60,2.467307692,0.22851,0.029599738,8.285261134
60,2.511538462,0.1995,0.023478659,7.40671073
60,2.174038462,0.16883,0.003917748,9.602450025
60,2.2625,0.16445,0.042883926,8.339261983
60,2.419230769,0.21524,0.021309037,8.096512918
60,2.332692308,0.18025,0.033945248,8.654168646
60,2.360576923,0.18819,0.043120666,7.128495946
60,2.427884615,0.21236,0.021104182,8.875846178
60,2.294230769,0.19709,0.029454976,9.704914655
60,2.302884615,0.19333,0.008160473,7.523481313
60,2.384615385,0.17791,0.032018012,6.892641641
60,2.375961538,0.20088,0.030373959,8.526152933
60,2.668269231,0.23393,0.03538599,9.088850474
60,2.447115385,0.18995,0.042575541,8.513787398
60,2.591346154,0.2368,0.039136514,7.776115477
72,2.076923077,0.15347,0.00245979,9.279773147
72,2.293269231,0.1804,0.044686306,9.448333126
72,2.302884615,0.20515,0.024361683,9.906782119
72,2.475961538,0.21355,0.030498727,9.467150781
72,2.548076923,0.22975,0.032529306,9.32607687
72,2.091346154,0.15847,5.04E-05,9.652972804
72,2.375961538,0.19552,0.02118394,9.622648679
72,2.292307692,0.16727,0.038466852,6.204557763
72,2.266346154,0.17083,0.02819243,7.784057003
72,2.359615385,0.17113,0.050016389,8.19450551
72,2.097115385,0.17865,0.022889626,10.15599571
72,2.4875,0.19983,0.052514304,8.809862805
72,2.528846154,0.24366,0.08677818,9.950466554
72,2.474038462,0.20636,0.03909352,9.134107066
72,2.284615385,0.18665,0.025331319,9.07532216
72,2.509615385,0.23367,0.045269362,9.899328917
84,2.264423077,0.1729,0.026305143,7.298445102
84,2.341346154,0.2074,0.034413114,9.354180942
84,2.222115385,0.16846,0.0286947,8.56522116
84,2.404807692,0.17342,0.013492514,5.123963979
84,2.139423077,0.18897,-0.0075807,7.218909708
84,2.5,0.21396,0.035935929,6.453624999
84,2.308653846,0.16856,0.038849419,7.13169851
84,2.200961538,0.17831,0.024686349,5.805134969
84,2.346153846,0.18247,0.05386738,9.539716059
84,2.086538462,0.16369,0.021371801,3.496507561
84,2.433653846,0.17668,0.068622465,9.728657862
84,2.375,0.21001,0.029066563,8.283999304
84,2.303846154,0.18177,0.033746396,7.410951876
84,2.408653846,0.17591,0.055266318,9.943813424
84,2.799038462,0.29018,0.028263286,9.082734247
84,2.447115385,0.21456,0.052358445,-6.453624999
12,2.380769231,0.19316,NA,0
12,2.168269231,0.16383,NA,0
12,2.373076923,0.22226,-0.019446937,4.852030264
12,2.547115385,0.2261,-0.00496114,7.037905963
12,2.478846154,0.20897,0.004004494,6.329720906
12,2.211538462,0.168,0.002673517,6.869014451
12,2.265384615,0.16268,-0.00280823,1.791759469
12,2.435576923,0.1876,-0.005869239,2.772588722
12,2.434615385,0.20379,-0.011832823,0
12,2.4375,0.19292,-0.01669515,0
12,2.357692308,0.21275,-0.016924287,7.173191742
12,2.384615385,0.21805,-0.006314971,3.663561646
12,2.432692308,0.25002,-0.057793554,0
12,2.153846154,0.16582,NA,0
12,2.509615385,0.21479,0.003386878,5.634789603
12,2.317307692,0.20246,NA,0
24,2.451923077,0.20268,0.00736607,5.541263545
24,2.610576923,0.24113,0.022508508,8.062432792
24,2.4375,0.23077,0.019411974,4.17438727
24,2.469230769,0.21812,0.008865734,2.302585093
24,2.1875,0.1681,0.009696256,7.423568444
24,2.198076923,0.16522,0.004552874,5.459585514
24,2.223076923,0.21195,-0.007025969,5.225746674
24,2.563461538,0.236,0.015881094,2.564949357
24,2.451923077,0.214,0.00984306,3.713572067
24,2.428846154,0.20431,0.016068556,6.104793232
24,2.057692308,0.18369,-0.012361161,-6.814542897
24,2.426923077,0.20146,0.012011171,8.135346949
24,2.467307692,0.23082,0.021510095,7.29301768
24,2.4,0.19992,0.013136787,6.758094504
24,2.405769231,0.20556,0.005758999,4.700480366
24,2.552884615,0.22149,0.027648881,0
36,2.326923077,0.185,0.004767291,6.246106765
36,2.158653846,0.16994,0.017627896,6.782192056
36,2.235576923,0.17157,0.011651828,0
36,2.476923077,0.23301,0.008792379,7.860956365
